Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
art,beginner,team,phd,thinker,logical,low,fluent,visionary,medium,solutions architect
art,advanced,office,masters,leader,creative,low,average,strong,medium,data scientist
technology,advanced,solo,diploma,introvert,intuitive,low,poor,collaborative,very high,qa engineer
technology,expert,team,masters,thinker,analytical,medium,average,collaborative,high,computer vision engineer
science,advanced,flexible,masters,leader,practical,very high,poor,strong,very high,full stack developer
art,beginner,team,masters,thinker,creative,very high,average,collaborative,low,data scientist
art,intermediate,flexible,phd,thinker,intuitive,medium,outstanding,collaborative,medium,mobile app developer
medicine,expert,team,bachelors,leader,logical,high,fluent,collaborative,exceptional,nlp engineer
art,advanced,team,masters,doer,creative,very high,poor,collaborative,exceptional,data scientist
technology,expert,remote,masters,thinker,creative,high,fluent,visionary,very high,database administrator
art,advanced,solo,phd,extrovert,creative,medium,fluent,moderate,very high,cloud architect
science,intermediate,solo,high school,thinker,logical,low,average,collaborative,very high,iot specialist
science,beginner,flexible,phd,introvert,creative,high,poor,moderate,high,product manager
science,beginner,team,high school,leader,practical,very high,average,visionary,high,iot specialist
medicine,expert,office,masters,thinker,practical,medium,poor,visionary,low,cloud architect
medicine,beginner,office,high school,doer,analytical,high,poor,collaborative,low,speech recognition specialist
science,beginner,remote,phd,leader,intuitive,very high,average,moderate,high,web developer
science,beginner,remote,phd,doer,analytical,very high,excellent,strong,low,financial analyst
business,advanced,flexible,high school,leader,creative,very high,excellent,strong,exceptional,algorithm engineer
business,advanced,solo,phd,thinker,analytical,very high,average,strong,medium,research scientist
technology,intermediate,flexible,masters,thinker,analytical,medium,fluent,strong,exceptional,qa engineer
technology,advanced,solo,masters,leader,practical,medium,excellent,collaborative,exceptional,cybersecurity analyst
technology,intermediate,flexible,diploma,leader,practical,high,excellent,collaborative,exceptional,deep learning engineer
technology,advanced,team,diploma,extrovert,practical,low,excellent,moderate,high,nlp engineer
business,intermediate,office,masters,thinker,analytical,very high,excellent,strong,exceptional,blockchain developer
technology,advanced,office,masters,thinker,analytical,high,fluent,strong,low,embedded systems engineer
science,expert,solo,diploma,introvert,analytical,medium,outstanding,collaborative,high,financial analyst
business,advanced,remote,bachelors,thinker,logical,high,poor,moderate,exceptional,database administrator
business,advanced,remote,phd,extrovert,logical,high,fluent,collaborative,exceptional,ai ethics researcher
science,expert,team,phd,leader,creative,low,excellent,collaborative,low,cybersecurity analyst
business,advanced,office,phd,doer,creative,high,excellent,visionary,medium,automation engineer
art,advanced,office,phd,doer,logical,very high,excellent,strong,very high,data engineer
science,advanced,solo,diploma,extrovert,intuitive,high,excellent,strong,exceptional,data scientist
technology,beginner,office,bachelors,introvert,intuitive,high,excellent,collaborative,exceptional,financial analyst
art,expert,office,diploma,leader,analytical,high,average,visionary,low,blockchain developer
technology,advanced,remote,masters,introvert,logical,high,excellent,collaborative,medium,cybersecurity analyst
medicine,advanced,flexible,diploma,introvert,creative,high,poor,visionary,exceptional,product manager
science,beginner,flexible,bachelors,doer,intuitive,medium,poor,visionary,medium,cloud architect
art,intermediate,team,diploma,doer,logical,low,excellent,collaborative,very high,deep learning engineer
business,advanced,team,masters,introvert,creative,high,excellent,moderate,low,data analyst
science,intermediate,solo,high school,introvert,analytical,high,average,moderate,exceptional,web developer
medicine,advanced,flexible,masters,leader,logical,high,average,collaborative,exceptional,site reliability engineer
medicine,beginner,remote,masters,doer,analytical,medium,average,moderate,very high,cloud architect
technology,intermediate,office,diploma,leader,analytical,medium,average,collaborative,high,robotics engineer
art,expert,flexible,bachelors,extrovert,practical,low,poor,collaborative,medium,virtual reality developer
art,beginner,remote,phd,introvert,analytical,high,excellent,strong,exceptional,network engineer
art,intermediate,solo,bachelors,extrovert,analytical,medium,fluent,visionary,medium,ml engineer
science,expert,flexible,phd,introvert,creative,very high,poor,visionary,very high,web developer
technology,intermediate,remote,diploma,doer,practical,high,excellent,collaborative,low,speech recognition specialist
medicine,advanced,team,phd,introvert,practical,high,excellent,strong,very high,cybersecurity analyst
technology,intermediate,solo,phd,thinker,creative,high,average,strong,very high,algorithm engineer
medicine,intermediate,solo,masters,thinker,intuitive,high,excellent,visionary,low,web developer
medicine,intermediate,remote,high school,thinker,creative,medium,outstanding,collaborative,high,financial analyst
business,advanced,remote,high school,leader,logical,low,poor,collaborative,medium,automation engineer
art,beginner,remote,diploma,extrovert,logical,very high,outstanding,collaborative,medium,nlp engineer
medicine,advanced,remote,diploma,leader,logical,high,excellent,visionary,high,web developer
technology,advanced,solo,bachelors,introvert,analytical,high,poor,visionary,high,bioinformatics scientist
art,advanced,team,masters,introvert,practical,high,average,visionary,medium,cloud architect
medicine,advanced,remote,masters,leader,creative,medium,average,visionary,low,technical writer
technology,expert,office,phd,extrovert,intuitive,very high,average,moderate,very high,augmented reality developer
business,expert,team,phd,introvert,intuitive,high,poor,collaborative,exceptional,ai researcher
science,advanced,office,bachelors,doer,creative,low,fluent,collaborative,medium,technical writer
business,advanced,team,diploma,extrovert,intuitive,very high,poor,visionary,very high,ai ethics researcher
business,intermediate,team,high school,doer,practical,high,poor,moderate,low,algorithm engineer
technology,intermediate,solo,diploma,extrovert,practical,high,excellent,strong,low,software engineer
technology,intermediate,office,masters,extrovert,logical,high,outstanding,collaborative,very high,computer vision engineer
technology,expert,flexible,high school,extrovert,creative,high,excellent,collaborative,very high,business analyst
science,intermediate,team,high school,thinker,creative,very high,average,moderate,high,cybersecurity analyst
medicine,expert,remote,high school,extrovert,creative,high,outstanding,moderate,high,solutions architect
science,intermediate,team,high school,thinker,logical,high,average,strong,medium,automation engineer
science,advanced,office,masters,thinker,logical,high,outstanding,moderate,low,cybersecurity analyst
technology,advanced,team,diploma,leader,analytical,medium,poor,collaborative,exceptional,ml engineer
medicine,expert,remote,diploma,doer,intuitive,very high,excellent,collaborative,very high,algorithm engineer
technology,expert,team,high school,thinker,creative,high,fluent,moderate,exceptional,site reliability engineer
medicine,beginner,flexible,phd,thinker,creative,medium,average,visionary,high,data analyst
art,intermediate,team,diploma,introvert,creative,high,fluent,visionary,medium,system architect
science,advanced,flexible,masters,leader,analytical,low,outstanding,collaborative,exceptional,blockchain developer
business,expert,office,high school,extrovert,intuitive,very high,poor,collaborative,high,solutions architect
medicine,expert,flexible,bachelors,extrovert,analytical,high,excellent,collaborative,medium,database administrator
business,intermediate,solo,diploma,leader,practical,medium,fluent,strong,exceptional,software engineer
art,advanced,flexible,masters,leader,logical,low,poor,collaborative,exceptional,blockchain developer
science,expert,team,masters,introvert,practical,high,average,collaborative,exceptional,augmented reality developer
business,advanced,team,diploma,doer,practical,low,excellent,visionary,low,full stack developer
technology,expert,office,diploma,extrovert,analytical,very high,fluent,strong,medium,deep learning engineer
business,advanced,office,high school,doer,intuitive,medium,poor,collaborative,very high,network engineer
technology,advanced,flexible,high school,leader,logical,high,fluent,collaborative,very high,web developer
business,advanced,office,phd,leader,creative,low,fluent,moderate,medium,robotics engineer
science,intermediate,solo,masters,extrovert,intuitive,high,poor,collaborative,exceptional,robotics engineer
technology,advanced,team,diploma,doer,creative,medium,poor,visionary,high,data analyst
business,expert,flexible,phd,extrovert,intuitive,medium,excellent,collaborative,low,solutions architect
technology,advanced,solo,masters,doer,intuitive,medium,poor,strong,low,iot specialist
business,beginner,team,diploma,doer,intuitive,low,outstanding,strong,low,ai ethics researcher
art,beginner,office,phd,thinker,logical,medium,excellent,collaborative,exceptional,augmented reality developer
technology,expert,remote,masters,extrovert,analytical,very high,average,moderate,exceptional,game developer
art,expert,solo,high school,thinker,practical,low,poor,visionary,high,ml engineer
business,advanced,office,diploma,leader,practical,low,poor,collaborative,low,automation engineer
art,advanced,remote,phd,thinker,creative,medium,poor,collaborative,medium,virtual reality developer
medicine,advanced,solo,high school,introvert,logical,medium,fluent,collaborative,low,algorithm engineer
medicine,advanced,office,phd,thinker,intuitive,high,poor,collaborative,very high,product manager
science,intermediate,remote,diploma,leader,practical,high,outstanding,collaborative,medium,product manager
science,expert,remote,phd,introvert,analytical,low,fluent,visionary,medium,software engineer
science,advanced,flexible,bachelors,introvert,practical,very high,outstanding,visionary,low,cybersecurity analyst
business,advanced,solo,diploma,doer,analytical,medium,poor,collaborative,exceptional,system architect
technology,intermediate,team,masters,extrovert,intuitive,high,poor,strong,high,augmented reality developer
technology,intermediate,solo,masters,leader,logical,high,fluent,strong,exceptional,bioinformatics scientist
science,expert,team,masters,extrovert,intuitive,medium,excellent,strong,very high,nlp engineer
medicine,beginner,team,phd,extrovert,logical,very high,fluent,visionary,very high,iot specialist
technology,advanced,team,bachelors,extrovert,creative,high,poor,visionary,low,ml engineer
science,beginner,team,phd,extrovert,practical,high,excellent,visionary,medium,augmented reality developer
business,expert,office,phd,doer,practical,high,average,collaborative,very high,iot specialist
technology,advanced,remote,bachelors,doer,logical,high,excellent,collaborative,high,augmented reality developer
medicine,advanced,solo,bachelors,extrovert,analytical,low,average,collaborative,very high,virtual reality developer
business,advanced,office,high school,introvert,intuitive,low,average,moderate,very high,network engineer
technology,advanced,office,diploma,thinker,practical,high,poor,collaborative,exceptional,data scientist
technology,intermediate,solo,high school,doer,analytical,high,excellent,strong,exceptional,embedded systems engineer
business,beginner,flexible,bachelors,thinker,intuitive,high,poor,strong,medium,software engineer
science,expert,team,masters,leader,practical,high,poor,collaborative,exceptional,data scientist
science,intermediate,remote,phd,extrovert,practical,medium,fluent,moderate,low,solutions architect
science,beginner,team,masters,thinker,practical,high,fluent,visionary,low,site reliability engineer
technology,expert,remote,bachelors,leader,creative,medium,poor,collaborative,high,bioinformatics scientist
medicine,beginner,solo,bachelors,thinker,creative,high,poor,visionary,low,ai researcher
art,expert,flexible,high school,leader,practical,low,fluent,collaborative,medium,iot specialist
science,beginner,office,masters,doer,practical,low,excellent,visionary,medium,ai researcher
art,advanced,solo,bachelors,leader,practical,medium,fluent,visionary,medium,site reliability engineer
medicine,intermediate,flexible,masters,leader,analytical,low,fluent,collaborative,high,ml engineer
science,advanced,flexible,masters,extrovert,intuitive,medium,poor,strong,medium,ai researcher
technology,advanced,team,high school,leader,intuitive,medium,average,collaborative,high,mobile app developer
science,beginner,team,bachelors,leader,logical,low,poor,visionary,very high,computer vision engineer
art,intermediate,flexible,bachelors,thinker,practical,very high,average,collaborative,medium,ml engineer
business,advanced,solo,bachelors,thinker,analytical,medium,poor,collaborative,high,bioinformatics scientist
business,intermediate,team,masters,extrovert,intuitive,very high,fluent,collaborative,low,data engineer
business,advanced,remote,high school,thinker,practical,low,outstanding,collaborative,very high,system architect
business,intermediate,team,phd,introvert,practical,high,fluent,strong,high,blockchain developer
art,advanced,remote,high school,doer,analytical,high,average,collaborative,exceptional,devops engineer
art,expert,remote,diploma,doer,practical,high,fluent,moderate,high,embedded systems engineer
medicine,advanced,office,bachelors,thinker,logical,very high,poor,visionary,medium,ui/ux designer
business,advanced,team,phd,extrovert,analytical,low,outstanding,visionary,high,full stack developer
business,intermediate,flexible,phd,introvert,practical,high,excellent,collaborative,high,robotics engineer
science,advanced,team,diploma,introvert,logical,medium,excellent,moderate,low,site reliability engineer
medicine,advanced,team,masters,introvert,logical,high,excellent,collaborative,high,bioinformatics scientist
medicine,beginner,team,masters,doer,practical,high,average,moderate,low,database administrator
art,advanced,solo,masters,leader,logical,high,outstanding,strong,high,bioinformatics scientist
science,advanced,team,high school,introvert,intuitive,high,average,collaborative,high,qa engineer
business,expert,solo,bachelors,thinker,practical,high,excellent,collaborative,very high,qa engineer
medicine,beginner,remote,phd,introvert,logical,very high,poor,strong,medium,iot specialist
business,intermediate,remote,masters,introvert,intuitive,very high,fluent,moderate,exceptional,ml engineer
business,beginner,flexible,diploma,introvert,creative,high,poor,moderate,exceptional,cybersecurity analyst
technology,advanced,remote,high school,extrovert,practical,high,excellent,strong,medium,automation engineer
technology,beginner,flexible,diploma,introvert,practical,medium,excellent,collaborative,very high,web developer
medicine,intermediate,flexible,diploma,thinker,analytical,very high,poor,visionary,very high,business analyst
technology,beginner,solo,masters,leader,intuitive,high,excellent,collaborative,high,ai ethics researcher
technology,advanced,office,masters,doer,creative,high,poor,moderate,low,automation engineer
medicine,advanced,team,bachelors,introvert,practical,low,excellent,collaborative,exceptional,database administrator
science,intermediate,remote,high school,doer,analytical,medium,outstanding,visionary,medium,automation engineer
business,beginner,solo,diploma,introvert,analytical,high,fluent,moderate,low,speech recognition specialist
medicine,advanced,flexible,phd,extrovert,analytical,high,excellent,moderate,high,devops engineer
art,advanced,team,high school,thinker,analytical,medium,excellent,collaborative,high,embedded systems engineer
technology,intermediate,flexible,diploma,thinker,intuitive,high,outstanding,collaborative,very high,solutions architect
business,intermediate,office,high school,leader,practical,high,fluent,strong,exceptional,nlp engineer
science,advanced,remote,masters,leader,analytical,high,excellent,collaborative,exceptional,product manager
science,beginner,flexible,bachelors,leader,practical,high,poor,strong,high,automation engineer
science,beginner,remote,masters,extrovert,practical,medium,excellent,collaborative,low,web developer
medicine,expert,remote,high school,introvert,practical,low,poor,strong,high,business analyst
business,advanced,remote,high school,doer,creative,low,poor,collaborative,low,data engineer
art,advanced,flexible,high school,extrovert,practical,very high,poor,strong,low,cloud architect
business,advanced,team,masters,thinker,intuitive,low,excellent,collaborative,exceptional,devops engineer
science,advanced,remote,diploma,introvert,creative,low,outstanding,moderate,medium,data analyst
medicine,expert,office,phd,introvert,analytical,medium,poor,moderate,high,data engineer
science,advanced,team,high school,introvert,intuitive,high,excellent,visionary,medium,web developer
art,expert,team,high school,leader,analytical,medium,excellent,strong,medium,financial analyst
science,intermediate,team,diploma,doer,creative,high,average,visionary,medium,robotics engineer
art,advanced,flexible,masters,introvert,practical,low,average,strong,high,deep learning engineer
medicine,advanced,team,bachelors,thinker,intuitive,medium,outstanding,moderate,exceptional,blockchain developer
medicine,beginner,office,phd,introvert,intuitive,low,average,collaborative,low,game developer
technology,advanced,remote,bachelors,introvert,creative,very high,outstanding,collaborative,medium,cybersecurity analyst
medicine,expert,solo,bachelors,introvert,practical,medium,average,collaborative,low,data engineer
medicine,advanced,office,phd,doer,logical,medium,outstanding,strong,medium,cloud architect
medicine,beginner,team,high school,extrovert,practical,high,outstanding,visionary,very high,web developer
business,expert,team,phd,extrovert,analytical,low,average,collaborative,exceptional,mobile app developer
science,advanced,remote,high school,extrovert,logical,medium,average,strong,low,financial analyst
science,advanced,flexible,masters,doer,logical,high,average,strong,exceptional,nlp engineer
science,expert,flexible,phd,extrovert,logical,low,poor,moderate,exceptional,system architect
technology,advanced,team,high school,introvert,creative,low,fluent,collaborative,very high,automation engineer
business,advanced,office,masters,extrovert,logical,very high,poor,strong,exceptional,technical writer
art,expert,office,phd,leader,intuitive,very high,fluent,collaborative,low,web developer
business,advanced,flexible,masters,doer,practical,low,fluent,moderate,high,devops engineer
art,intermediate,solo,diploma,thinker,logical,high,outstanding,strong,low,data scientist
medicine,expert,flexible,masters,doer,logical,high,excellent,visionary,medium,solutions architect
technology,intermediate,office,phd,introvert,practical,low,poor,moderate,low,product manager
medicine,intermediate,solo,bachelors,thinker,creative,medium,average,strong,medium,robotics engineer
business,advanced,solo,phd,extrovert,creative,very high,fluent,collaborative,medium,data scientist
art,beginner,team,masters,introvert,intuitive,high,excellent,strong,high,game developer
science,advanced,office,bachelors,extrovert,creative,very high,outstanding,moderate,exceptional,speech recognition specialist
business,advanced,remote,masters,thinker,creative,high,poor,visionary,exceptional,solutions architect
science,expert,remote,masters,leader,logical,high,excellent,collaborative,medium,ml engineer
medicine,beginner,remote,bachelors,leader,analytical,very high,poor,collaborative,medium,nlp engineer
medicine,intermediate,team,bachelors,doer,practical,high,excellent,collaborative,exceptional,cloud architect
technology,intermediate,flexible,bachelors,leader,logical,medium,outstanding,collaborative,exceptional,game developer
medicine,expert,flexible,diploma,leader,logical,high,poor,moderate,exceptional,iot specialist
medicine,intermediate,office,high school,thinker,logical,very high,fluent,visionary,high,game developer
art,beginner,office,diploma,leader,creative,low,fluent,collaborative,medium,business analyst
art,beginner,team,masters,leader,analytical,very high,excellent,strong,medium,hardware engineer
technology,intermediate,office,masters,introvert,analytical,high,average,collaborative,very high,qa engineer
medicine,advanced,remote,diploma,doer,intuitive,low,average,collaborative,high,cybersecurity analyst
science,intermediate,office,high school,thinker,intuitive,high,poor,collaborative,low,mobile app developer
business,beginner,flexible,high school,thinker,practical,high,poor,strong,high,software engineer
art,intermediate,solo,diploma,doer,logical,high,poor,strong,very high,financial analyst
technology,advanced,office,phd,thinker,creative,low,excellent,moderate,high,embedded systems engineer
medicine,advanced,office,bachelors,introvert,creative,medium,average,moderate,high,product manager
medicine,advanced,team,diploma,doer,creative,high,fluent,collaborative,low,financial analyst
technology,intermediate,remote,masters,thinker,analytical,very high,excellent,moderate,exceptional,mobile app developer
art,advanced,team,diploma,leader,analytical,low,average,visionary,very high,nlp engineer
art,intermediate,flexible,masters,introvert,practical,medium,average,moderate,exceptional,computer vision engineer
medicine,expert,solo,high school,doer,logical,high,poor,collaborative,low,financial analyst
science,advanced,solo,phd,leader,creative,high,average,collaborative,high,algorithm engineer
technology,advanced,remote,diploma,doer,intuitive,very high,poor,moderate,very high,data scientist
business,advanced,team,phd,thinker,intuitive,low,outstanding,collaborative,medium,qa engineer
medicine,intermediate,office,diploma,introvert,logical,low,poor,collaborative,low,site reliability engineer
technology,intermediate,flexible,diploma,introvert,creative,very high,average,visionary,exceptional,devops engineer
art,beginner,remote,phd,leader,practical,medium,excellent,moderate,very high,software engineer
medicine,advanced,team,high school,extrovert,logical,medium,fluent,collaborative,low,data analyst
technology,expert,office,masters,thinker,analytical,very high,fluent,visionary,medium,robotics engineer
business,intermediate,team,masters,thinker,analytical,low,average,visionary,medium,full stack developer
technology,intermediate,solo,masters,introvert,logical,medium,poor,collaborative,very high,cloud architect
medicine,advanced,solo,high school,extrovert,intuitive,high,average,collaborative,low,devops engineer
medicine,intermediate,office,bachelors,doer,creative,high,outstanding,moderate,medium,cybersecurity analyst
technology,advanced,office,phd,introvert,creative,low,average,collaborative,low,network engineer
business,expert,team,bachelors,leader,logical,low,excellent,visionary,high,automation engineer
science,advanced,solo,masters,extrovert,practical,high,poor,collaborative,high,system architect
business,advanced,flexible,high school,leader,practical,high,excellent,strong,low,ai ethics researcher
business,advanced,flexible,bachelors,introvert,practical,medium,excellent,moderate,very high,product manager
art,intermediate,flexible,bachelors,doer,logical,high,outstanding,visionary,medium,speech recognition specialist
medicine,expert,flexible,bachelors,leader,practical,medium,average,moderate,high,augmented reality developer
business,advanced,solo,bachelors,introvert,analytical,low,excellent,collaborative,exceptional,financial analyst
business,intermediate,remote,high school,extrovert,analytical,low,poor,collaborative,low,database administrator
business,beginner,office,masters,extrovert,practical,high,fluent,collaborative,high,iot specialist
science,expert,team,diploma,doer,intuitive,very high,outstanding,collaborative,high,bioinformatics scientist
technology,advanced,solo,high school,doer,intuitive,medium,fluent,strong,medium,financial analyst
medicine,advanced,flexible,phd,introvert,logical,high,fluent,collaborative,low,financial analyst
art,expert,office,bachelors,doer,practical,low,average,visionary,medium,database administrator
business,advanced,flexible,diploma,doer,logical,high,average,collaborative,medium,blockchain developer
art,expert,team,phd,introvert,intuitive,high,outstanding,visionary,low,ui/ux designer
science,advanced,solo,high school,thinker,logical,high,outstanding,moderate,medium,cybersecurity analyst
medicine,expert,flexible,masters,leader,intuitive,very high,poor,moderate,medium,computer vision engineer
business,expert,office,phd,thinker,creative,high,excellent,moderate,low,full stack developer
medicine,advanced,team,phd,introvert,creative,medium,excellent,collaborative,exceptional,algorithm engineer
business,intermediate,office,bachelors,thinker,creative,medium,poor,collaborative,exceptional,automation engineer
technology,beginner,solo,bachelors,extrovert,practical,high,average,collaborative,very high,product manager
art,intermediate,remote,phd,introvert,practical,very high,fluent,strong,exceptional,devops engineer
technology,advanced,remote,phd,extrovert,creative,medium,outstanding,collaborative,medium,full stack developer
art,advanced,office,phd,doer,intuitive,medium,poor,collaborative,high,solutions architect
science,expert,office,phd,doer,analytical,very high,fluent,collaborative,very high,game developer
technology,advanced,flexible,bachelors,extrovert,creative,low,fluent,visionary,low,financial analyst
business,advanced,team,bachelors,introvert,creative,high,excellent,visionary,exceptional,data analyst
business,expert,flexible,bachelors,extrovert,creative,high,fluent,visionary,very high,mobile app developer
business,advanced,remote,diploma,introvert,creative,very high,poor,collaborative,exceptional,business analyst
art,advanced,flexible,masters,doer,creative,medium,outstanding,collaborative,medium,cybersecurity analyst
medicine,expert,office,high school,introvert,intuitive,high,outstanding,visionary,low,business analyst
business,expert,team,phd,leader,practical,very high,poor,visionary,exceptional,database administrator
art,beginner,team,diploma,extrovert,creative,high,poor,strong,high,ai researcher
technology,advanced,team,phd,introvert,intuitive,medium,excellent,collaborative,high,ai ethics researcher
technology,expert,team,phd,doer,analytical,very high,average,visionary,medium,data scientist
medicine,beginner,remote,diploma,introvert,analytical,medium,fluent,visionary,very high,ml engineer
science,advanced,remote,diploma,introvert,creative,medium,excellent,moderate,exceptional,hardware engineer
technology,beginner,remote,high school,thinker,logical,very high,poor,visionary,very high,database administrator
science,advanced,team,high school,extrovert,practical,very high,poor,collaborative,high,augmented reality developer
science,intermediate,remote,phd,thinker,analytical,low,poor,visionary,medium,network engineer
science,beginner,solo,phd,extrovert,intuitive,high,outstanding,collaborative,very high,site reliability engineer
medicine,advanced,solo,high school,thinker,intuitive,low,excellent,strong,exceptional,data analyst
art,advanced,remote,diploma,leader,creative,medium,outstanding,collaborative,high,augmented reality developer
medicine,advanced,flexible,high school,leader,creative,low,outstanding,collaborative,high,game developer
medicine,beginner,flexible,masters,thinker,practical,low,fluent,visionary,very high,ui/ux designer
art,advanced,remote,bachelors,introvert,analytical,high,excellent,collaborative,medium,nlp engineer
business,advanced,team,diploma,leader,practical,high,average,moderate,very high,software engineer
technology,advanced,solo,bachelors,introvert,analytical,high,outstanding,strong,exceptional,business analyst
business,advanced,team,diploma,introvert,creative,very high,poor,collaborative,exceptional,data analyst
medicine,intermediate,solo,bachelors,thinker,creative,low,poor,collaborative,low,technical writer
science,advanced,team,diploma,doer,logical,medium,outstanding,collaborative,very high,data scientist
business,beginner,remote,bachelors,introvert,practical,high,poor,collaborative,very high,ml engineer
art,beginner,flexible,phd,leader,analytical,medium,outstanding,collaborative,very high,cybersecurity analyst
medicine,advanced,solo,high school,doer,creative,high,fluent,visionary,low,site reliability engineer
technology,beginner,team,masters,doer,creative,very high,outstanding,visionary,very high,mobile app developer
medicine,beginner,solo,high school,doer,practical,low,excellent,collaborative,low,technical writer
business,beginner,flexible,phd,doer,practical,very high,average,collaborative,low,computer vision engineer
science,beginner,remote,high school,extrovert,analytical,high,outstanding,visionary,low,technical writer
art,expert,office,diploma,thinker,practical,very high,excellent,collaborative,very high,web developer
medicine,beginner,remote,phd,thinker,analytical,low,average,collaborative,low,ml engineer
science,expert,remote,diploma,extrovert,practical,high,fluent,collaborative,very high,ai researcher
